acid_splash | Acid Splash | 酸液飞溅
arcane_mark | Arcane Mark | 奥术标记
dancing_lights | Dancing Lights | 舞光术
daze | Daze | 震慑
detect_magic | Detect Magic | 侦测魔法
disrupt_undead | Disrupt Undead | 击退亡灵
flare | Flare | 闪光尘
ghost_sound | Ghost Sound | 幽幻之声
light | Light | 光亮术
mage_hand | Mage Hand | 法师之手
mending | Mending | 修理术
message | Message | 传讯术
open_close | Open/Close | 开关术
prestidigitation | Prestidigitation | 戏法
ray_of_frost | Ray of Frost | 霜射线
read_magic | Read Magic | 阅读魔法
resistance | Resistance | 抗力术
create_water | Create Water | 造水术
cure_minor_wounds | Cure Minor Wounds | 微伤治疗
detect_poison | Detect Poison | 侦测毒素
guidance | Guidance | 指引术
inflict_minor_wounds | Inflict Minor Wounds | 微伤造成
purify_food_drink | Purify Food and Drink | 净化饮食
virtue | Virtue | 美德术
alarm | Alarm | 警铃术
burning_hands | Burning Hands | 燃烧之手
charm_person | Charm Person | 魅惑人类
color_spray | Color Spray | 彩光喷射
comprehend_languages | Comprehend Languages | 理解语言
detect_secret_doors | Detect Secret Doors | 侦测秘门
identify | Identify | 鉴定术
magic_missile | Magic Missile | 魔法飞弹
shield | Shield | 护盾术
sleep | Sleep | 睡眠术
bless | Bless | 祝福术
cure_light_wounds | Cure Light Wounds | 轻伤治疗
divine_favor | Divine Favor | 神恩术
endure_elements | Endure Elements | 耐受元素
protection_from_alignment | Protection from Alignment | 防护自阵营
shield_of_faith | Shield of Faith | 信仰之盾
summon_monster_1 | Summon Monster I | 召唤怪物Ⅰ
acid_arrow | Acid Arrow | 酸液箭
blur | Blur | 模糊术
darkness | Darkness | 黑暗术
flaming_sphere | Flaming Sphere | 烈焰之球
glitterdust | Glitterdust | 闪光尘
invisibility | Invisibility | 隐形术
mirror_image | Mirror Image | 镜影术
 blindness_deafness | Blindness/Deafness | 目盲/耳聋
cure_moderate_wounds | Cure Moderate Wounds | 中伤治疗
bulls_strength | Bull's Strength | 公牛之力
cats_grace | Cat's Grace | 猫之优雅
bears_endurance | Bear's Endurance | 熊之坚韧
eagles_splendor | Eagle's Splendor | 鹰之荣耀
foxs_cunning | Fox's Cunning | 狐之狡黠
owls_wisdom | Owl's Wisdom | 猫头鹰之智慧
resist_energy | Resist Energy | 抵抗能量
summon_monster_2 | Summon Monster II | 召唤怪物Ⅱ
web | Web | 蛛网术
dispel_magic | Dispel Magic | 解除魔法
fireball | Fireball | 火球术
fly | Fly | 飞行术
haste | Haste | 加速术
heroism | Heroism | 英雄术
hold_person | Hold Person | 定身人类
invisibility_sphere | Invisibility Sphere | 隐形之球
lightning_bolt | Lightning Bolt | 闪电箭
protection_from_energy | Protection from Energy | 防护自能量
suggestion | Suggestion | 暗示术
summon_monster_3 | Summon Monster III | 召唤怪物Ⅲ
water_breathing | Water Breathing | 水下呼吸
wind_wall | Wind Wall | 风墙术
cure_serious_wounds | Cure Serious Wounds | 重伤治疗
daylight | Daylight | 昼明术
dispel_magic_divine | Dispel Magic (Divine) | 解除魔法（神术）
prayer | Prayer | 祈祷术
searing_light | Searing Light | 灼热之光
charm_monster | Charm Monster | 魅惑怪物
dimension_door | Dimension Door | 任意门
fire_shield | Fire Shield | 火焰护盾
greater_invisibility | Greater Invisibility | 高等隐形
ice_storm | Ice Storm | 冰风暴
polymorph | Polymorph | 变化术
wall_of_fire | Wall of Fire | 火焰墙
cure_critical_wounds | Cure Critical Wounds | 重伤治疗
death_ward | Death Ward | 死亡守护
divination | Divination | 占卜术
baleful_polymorph | Baleful Polymorph | 恶毒变化术
cloudkill | Cloudkill | 死云术
hold_monster | Hold Monster | 定身怪物
summon_monster_5 | Summon Monster V | 召唤怪物Ⅴ
wall_of_stone | Wall of Stone | 石墙术
raise_dead | Raise Dead | 死者复活
slay_living | Slay Living | 杀生术
